                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9141,                 3.4293,                 1.5703,                0.03944,                0.86585,                0.04493,                0.01669,                 1.8853,                 6.2855,                 1.0145,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.8052,                 3.3643,                 1.5624,                0.04111,                0.90244,                0.06433,                0.02539,                 1.7857,                 6.2374,                0.97153,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.7299,                 3.2251,                 1.4235,                0.04278,                0.93902,                 0.0959,                0.03908,                  1.658,                 6.1897,                0.92233,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.6091,                 3.0931,                 1.3905,                0.04389,                0.96341,                0.12246,                0.04833,                  1.578,                 6.1357,                0.89591,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.5085,                 2.6907,                 1.3286,                0.04556,                      1,                0.21068,                0.06787,                 1.5033,                  5.981,                0.83922,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.5817,                 2.3238,                 1.3426,                0.04444,                0.97561,                0.47071,                 0.1773,                 1.5799,                 5.5781,                0.80985,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.5696,                 1.8481,                 1.2718,                0.07431,                0.96341,                0.60699,                0.28084,                  1.665,                  5.039,                  0.786,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.5135,                 1.3512,                 1.2188,                0.94322,                0.20276,                 0.7272,                0.35702,                 1.6864,                 4.5246,                0.79135,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.4844,                 1.4251,                 1.2739,                0.91004,                 0.3702,                0.76961,                0.36922,                 1.6882,                 4.3046,                0.79457,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.4742,                 1.2716,                 1.2197,                 0.9183,                0.54833,                0.79447,                0.38574,                 1.6924,                 4.1652,                 0.7944,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.4922,                  1.198,                  1.209,                0.93235,                0.45122,                0.66459,                0.31899,                 1.6736,                 4.1073,                0.78638,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.4923,                 1.1784,                 1.2752,                0.97476,                0.47111,                0.66881,                0.32804,                 1.6238,                 4.1046,                0.77894,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.5398,                 1.1671,                 1.2619,                0.97861,                0.55787,                0.82092,                0.42291,                 1.6737,                 4.1733,                 0.8144,              0.0004406,              0.0004406,              0.0004406
                     14,                  1.487,                 1.1282,                   1.23,                 0.9858,                0.34146,                0.53469,                0.27928,                 1.7318,                  4.241,                 0.8645,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.4096,                 1.1324,                 1.2075,                0.96716,                0.35923,                0.49809,                0.27533,                 1.7749,                 4.3008,                0.90511,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.3897,                 1.1196,                 1.1615,                0.94649,                0.43146,                0.57401,                0.32095,                 1.8146,                 4.5349,                 0.9537,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.4111,                 1.0813,                 1.1839,                      1,                  0.294,                0.44712,                0.25671,                 1.8674,                 4.9415,                 1.0106,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.3769,                 1.0819,                  1.164,                      1,                0.25505,                 0.4304,                0.22212,                 1.9074,                 5.1289,                 1.0302,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.3814,                 1.0765,                 1.1803,                0.92822,                0.28049,                0.41567,                0.22373,                 1.8854,                 4.9721,                 1.0148,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.3752,                0.97462,                 1.1512,                0.96496,                0.33599,                0.46183,                0.24175,                 1.8177,                 4.2765,                0.95258,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.3711,                0.98993,                 1.2112,                0.91506,                 0.2561,                0.35705,                0.18351,                 1.8136,                 3.8654,                0.94018,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.4515,                 1.0206,                 1.2025,                0.92023,                0.42215,                0.49136,                0.27718,                 1.8632,                 3.6984,                0.97119,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.3922,                 0.9775,                 1.2174,                  0.898,                0.28049,                0.33961,                0.18899,                 1.9113,                 3.5724,                 1.0017,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.2854,                0.98253,                 1.1843,                 0.9309,                 0.3286,                 0.3548,                0.19727,                 1.8597,                 3.3023,                0.98421,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.3121,                0.89755,                 1.1679,                0.92897,                0.47851,                0.50569,                0.28322,                 1.8148,                 3.0619,                0.95041,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.4347,                0.98602,                 1.1774,                0.94059,                0.32927,                0.36186,                0.17582,                 1.8173,                 3.0514,                 0.9502,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.3407,                0.86761,                  1.151,                0.91702,                0.19512,                0.21669,                0.10927,                  1.944,                 3.3815,                 1.0275,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.3477,                0.89143,                 1.1606,                0.94287,                0.46341,                0.49018,                0.24806,                  1.944,                 3.3815,                 1.0275,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.3746,                0.88568,                 1.1455,                0.93931,                0.17073,                0.20567,                0.09018,                 2.2596,                 4.4187,                 1.1719,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.3484,                0.88645,                 1.1626,                0.93125,                0.16539,                0.20221,                0.09009,                 2.2143,                 4.4224,                 1.1557,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.3677,                0.90082,                 1.1157,                0.93834,                0.37129,                0.44749,                0.20011,                 2.2143,                 4.4224,                 1.1557,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.3299,                0.98502,                 1.1804,                0.97141,                0.20732,                0.22262,                0.10671,                 1.9697,                 3.3634,                 0.9977,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.3227,                0.93671,                 1.1462,                0.95566,                0.35366,                0.39829,                0.20862,                  1.883,                 2.9395,                0.93747,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.3176,                0.94487,                 1.1787,                0.94217,                0.59611,                0.67331,                0.34616,                  1.883,                 2.9395,                0.93747,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.2769,                0.90308,                 1.1294,                0.95457,                0.23171,                 0.2611,                 0.1351,                 1.8234,                 2.7955,                0.89941,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.2058,                 0.8399,                 1.0841,                0.97984,                 0.2439,                0.26138,                0.14283,                 1.7461,                 2.5768,                0.85909,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.1808,                0.83229,                 1.0595,                0.99284,                 0.5122,                0.55376,                 0.3054,                 1.7461,                 2.5768,                0.85909,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.2306,                0.81645,                 1.1041,                0.93622,                0.23171,                0.25368,                0.14923,                 1.6857,                 2.4168,                0.84299,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.1772,                0.81976,                 1.1077,                      1,                0.24122,                0.26854,                0.14735,                 1.6382,                 2.2125,                 0.8387,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.2225,                0.80753,                 1.0925,                0.97038,                0.79899,                0.89488,                0.49052,                 1.6382,                 2.2125,                 0.8387,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.1924,                0.86142,                 1.1081,                0.93059,                 0.2439,                0.26834,                 0.1492,                  1.687,                  2.222,                0.86409,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.1464,                0.77937,                 1.0902,                0.93257,                0.67474,                0.71439,                0.35439,                 1.7507,                 2.2279,                0.89027,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.1605,                0.79526,                 1.0974,                0.91612,                0.82927,                0.88351,                 0.4573,                 1.7507,                 2.2279,                0.89027,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.1247,                0.79017,                 1.0748,                0.92515,                0.37805,                 0.4034,                0.20785,                 1.8043,                 2.3028,                0.89933,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.1633,                0.80982,                 1.1339,                0.93166,                0.68293,                  0.727,                0.35119,                 1.8043,                 2.3028,                0.89933,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.2567,                0.80523,                 1.1032,                0.85562,                 0.2561,                0.27255,                0.14344,                 1.7326,                 2.2664,                0.86072,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.1443,                0.78304,                 1.0648,                0.91269,                0.54878,                0.57697,                0.29583,                 1.7326,                 2.2664,                0.86072,               0.001013,               0.001013,               0.001013
                     48,                 1.1528,                0.77758,                 1.0752,                0.91901,                0.37805,                0.41355,                0.21395,                 1.7017,                 2.3097,                0.85211,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.2384,                0.77306,                 1.1309,                 0.9332,                0.68148,                 0.7149,                0.37132,                 1.7017,                 2.3097,                0.85211,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.2676,                0.81014,                 1.1538,                0.87395,                0.25373,                0.28009,                0.13618,                 1.9086,                 2.5652,                 0.9403,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.1484,                0.73878,                 1.0484,                0.93609,                0.53586,                0.57969,                0.26813,                 1.9086,                 2.5652,                 0.9403,                0.00101,                0.00101,                0.00101
                     52,                 1.1915,                0.79395,                  1.099,                0.80174,                 0.2561,                 0.2688,                0.12679,                 1.9281,                 2.5977,                0.94415,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1075,                0.73464,                 1.0492,                0.90947,                0.53659,                0.55969,                0.25992,                 1.9281,                 2.5977,                0.94415,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1265,                0.73666,                 1.0465,                0.89522,                0.26829,                0.29519,                0.15345,                 1.7326,                 2.3696,                0.86572,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1689,                0.77137,                  1.128,                0.94154,                0.54878,                0.59525,                0.29847,                 1.7326,                 2.3696,                0.86572,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1738,                0.77347,                 1.1125,                0.95772,                0.27633,                0.30135,                0.16192,                 1.6793,                 2.0866,                0.84415,               0.000911,               0.000911,               0.000911
                     57,                 1.1391,                0.72316,                 1.0414,                0.92139,                0.57317,                0.60075,                0.31207,                 1.6793,                 2.0866,                0.84415,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1178,                0.73027,                 1.0838,                0.91944,                0.27845,                0.30327,                0.16057,                  1.771,                  1.968,                0.87061,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0797,                0.70589,                 1.0593,                0.95935,                0.57569,                 0.6072,                0.30516,                  1.771,                  1.968,                0.87061,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0369,                0.69735,                 1.0571,                0.84864,                0.28049,                0.30527,                0.16565,                  1.774,                 1.8745,                0.87538,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1337,                0.72483,                 1.0777,                0.93985,                0.57166,                0.60943,                0.32192,                  1.774,                 1.8745,                0.87538,               0.000812,               0.000812,               0.000812
                     62,                  1.176,                0.74643,                 1.0824,                0.94853,                0.28049,                0.30389,                0.15883,                  1.676,                   1.84,                0.84868,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0536,                0.66902,                  1.036,                0.97425,                0.58537,                0.60593,                0.32045,                  1.676,                   1.84,                0.84868,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0661,                0.69829,                 1.0413,                0.89623,                0.28049,                0.30282,                0.16124,                 1.6575,                 1.7718,                0.85559,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0694,                0.72938,                 1.0499,                0.97943,                0.58068,                0.60582,                0.30937,                 1.6575,                 1.7718,                0.85559,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.109,                0.71906,                 1.0837,                0.94027,                0.26829,                0.30234,                0.16456,                 1.6774,                 1.7806,                0.86273,               0.000713,               0.000713,               0.000713
                     67,                 1.0592,                0.69525,                 1.0167,                  0.974,                0.58537,                0.60664,                0.31247,                 1.6774,                 1.7806,                0.86273,              0.0006932,              0.0006932,              0.0006932
                     68,                  1.061,                0.65699,                  1.033,                0.95808,                0.27878,                0.30958,                0.17429,                 1.6682,                  1.763,                0.86609,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0216,                0.67546,                 1.0126,                0.92866,                0.58537,                0.61661,                0.32527,                 1.6682,                  1.763,                0.86609,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0187,                0.68414,                 1.0307,                0.94871,                0.28049,                0.31221,                0.17264,                 1.6704,                 1.7207,                0.87531,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0806,                0.67937,                 1.0543,                0.94051,                0.57846,                0.61839,                0.31313,                 1.6704,                 1.7207,                0.87531,               0.000614,               0.000614,               0.000614
                     72,                  1.007,                0.65559,                 1.0277,                0.95247,                0.28049,                 0.3118,                0.17414,                 1.6035,                 1.6756,                0.84794,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0479,                0.71884,                 1.0777,                0.92337,                0.58782,                0.61849,                0.33242,                 1.6035,                 1.6756,                0.84794,              0.0005744,              0.0005744,              0.0005744
                     74,                0.99502,                0.66438,                 1.0475,                      1,                0.14585,                0.16213,                0.08689,                 1.6136,                 1.6396,                0.84058,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.9945,                0.63937,                  1.006,                0.95999,                0.29258,                0.31332,                0.17953,                 1.6136,                 1.6396,                0.84058,              0.0005348,              0.0005348,              0.0005348
                     76,                0.99084,                0.64223,                 1.0009,                0.99217,                0.14634,                0.16213,                0.08709,                 1.6443,                 1.6028,                0.86215,               0.000515,               0.000515,               0.000515
                     77,                 0.9973,                0.64097,                 1.0112,                0.91427,                0.30488,                0.31332,                 0.1756,                 1.6443,                 1.6028,                0.86215,              0.0004952,              0.0004952,              0.0004952
                     78,                0.99056,                0.63137,                0.99817,                 0.9468,                0.30488,                0.31448,                0.17561,                 1.6516,                 1.5986,                0.87291,              0.0004754,              0.0004754,              0.0004754
                     79,                0.91121,                0.61132,                0.98993,                0.96166,                0.45122,                0.46034,                 0.2578,                 1.6516,                 1.5986,                0.87291,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.9628,                0.65448,                0.98169,                0.99047,                0.14634,                0.16213,                0.08906,                 1.6163,                 1.5476,                0.85555,              0.0004358,              0.0004358,              0.0004358
                     81,                0.91125,                 0.6231,                0.98656,                0.95131,                0.30488,                0.31332,                0.18208,                 1.6163,                 1.5476,                0.85555,               0.000416,               0.000416,               0.000416
                     82,                0.94398,                0.65933,                0.96483,                0.99159,                0.14634,                0.16213,                0.08742,                 1.6013,                 1.5275,                0.84955,              0.0003962,              0.0003962,              0.0003962
                     83,                0.97101,                 0.6121,                 1.0001,                 0.9541,                0.30488,                0.31294,                0.18102,                 1.6013,                 1.5275,                0.84955,              0.0003764,              0.0003764,              0.0003764
                     84,                0.95231,                0.65425,                0.99757,                0.99147,                0.14634,                0.16213,                0.08901,                 1.6357,                 1.5697,                 0.8563,              0.0003566,              0.0003566,              0.0003566
                     85,                0.92415,                0.61519,                0.99494,                0.95419,                0.30488,                0.31294,                0.18045,                 1.6357,                 1.5697,                 0.8563,              0.0003368,              0.0003368,              0.0003368
                     86,                0.93366,                0.62611,                0.99171,                0.99144,                0.14634,                0.16213,                0.08319,                 1.6777,                 1.5825,                 0.8723,               0.000317,               0.000317,               0.000317
                     87,                0.94227,                 0.6056,                0.98916,                0.96148,                0.30445,                0.31332,                0.17592,                 1.6777,                 1.5825,                 0.8723,              0.0002972,              0.0002972,              0.0002972
                     88,                0.91985,                0.60353,                0.97926,                 0.9915,                0.14634,                0.16213,                0.08622,                 1.6814,                 1.5655,                0.87247,              0.0002774,              0.0002774,              0.0002774
                     89,                0.89395,                0.61012,                0.97438,                0.97354,                0.44867,                0.45955,                0.25908,                 1.6814,                 1.5655,                0.87247,              0.0002576,              0.0002576,              0.0002576
                     90,                0.91303,                0.63169,                0.97765,                0.99167,                0.14634,                0.16213,                 0.0868,                 1.6785,                 1.5208,                0.87301,              0.0002378,              0.0002378,              0.0002378
                     91,                0.95897,                 0.8137,                0.99681,                0.94849,                0.45122,                0.45915,                0.26001,                 1.6785,                 1.5208,                0.87301,               0.000218,               0.000218,               0.000218
                     92,                0.95941,                0.83216,                 1.0058,                0.99249,                0.14634,                0.16213,                0.08613,                 1.6809,                 1.5187,                0.87155,              0.0001982,              0.0001982,              0.0001982
                     93,                0.99754,                0.84114,                 1.0193,                0.90956,                0.30488,                0.31474,                0.17704,                 1.6809,                 1.5187,                0.87155,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.9002,                0.71321,                0.99323,                0.99269,                0.14634,                0.16213,                0.08598,                 1.6969,                 1.5239,                0.87331,              0.0001586,              0.0001586,              0.0001586
                     95,                0.92816,                0.75191,                 1.0137,                0.91111,                0.30488,                0.31514,                0.17532,                 1.6969,                 1.5239,                0.87331,              0.0001388,              0.0001388,              0.0001388
                     96,                0.87689,                0.67225,                0.97273,                0.99293,                0.14634,                0.16213,                0.08419,                 1.7146,                 1.5117,                 0.8779,               0.000119,               0.000119,               0.000119
                     97,                0.86498,                0.65822,                0.96729,                0.91984,                0.30488,                0.31554,                0.17471,                 1.7146,                 1.5117,                 0.8779,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.8739,                 0.6751,                0.98776,                0.87906,                0.30488,                 0.3152,                0.17603,                 1.7135,                 1.5008,                0.87778,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.88499,                0.71064,                 0.9552,                0.96836,                0.43902,                0.46174,                0.25753,                 1.7135,                 1.5008,                0.87778,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.88276,                 0.6701,                 1.0001,                0.99353,                0.14634,                0.16213,                0.08603,                 1.6991,                 1.4896,                0.87303,               3.98e-05,               3.98e-05,               3.98e-05
