                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0013,                  2.843,                 1.6513,                0.30782,                0.57317,                0.27904,                0.10717,                 2.0057,                 3.7626,                 1.1365,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.854,                  2.003,                 1.5599,                0.75392,                0.87805,                0.91019,                0.41884,                 1.7806,                 5.1688,                 1.0169,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.6631,                 1.4298,                  1.449,                0.67363,                0.97561,                0.91026,                0.46238,                 1.6594,                   5.87,                0.91726,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                  1.611,                  1.136,                  1.413,                0.79614,                0.93902,                0.90178,                 0.4578,                  1.693,                 2.9039,                0.90461,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.4917,                0.97682,                 1.3668,                0.76633,                0.97561,                0.93548,                0.46117,                 1.7193,                 5.0736,                0.91955,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.4626,                0.86738,                  1.328,                0.83264,                0.93902,                 0.9323,                0.44979,                  1.761,                 1.8688,                0.94635,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.4208,                0.92383,                 1.3076,                0.90377,                0.91463,                0.95615,                0.48823,                 1.7138,                 3.0088,                0.94323,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.4038,                0.76692,                 1.3073,                0.87356,                0.76829,                0.77057,                0.40549,                 1.6865,                 2.6554,                0.95056,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.3675,                0.75566,                  1.297,                0.89933,                0.62195,                0.61993,                 0.3131,                 1.7034,                 2.3038,                0.96193,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.3298,                0.73033,                 1.2234,                0.91015,                0.61775,                 0.6232,                0.30912,                 1.6714,                 2.8334,                 0.9392,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.2858,                0.71586,                 1.2015,                0.84867,                0.57317,                0.59722,                0.26748,                 1.8598,                 3.6044,                  1.017,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.3363,                0.66565,                 1.2642,                0.97358,                0.59756,                0.62595,                0.32152,                 1.7112,                  2.904,                0.94942,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.3867,                0.68625,                 1.2623,                0.94403,                 0.6171,                0.62857,                0.32879,                 1.6918,                 2.4992,                0.94222,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.2782,                0.64915,                 1.2219,                0.94432,                0.62047,                0.63121,                0.33322,                 1.6301,                 3.0973,                0.91743,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.2572,                0.66062,                  1.203,                0.94576,                0.43902,                0.45244,                0.22166,                 1.6008,                  2.656,                0.88337,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.1982,                0.65158,                 1.1373,                0.92151,                 0.5727,                0.59733,                0.32094,                 1.5723,                 2.1747,                0.86973,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.2453,                0.63381,                 1.1734,                0.95676,                0.43902,                 0.4537,                0.26166,                  1.582,                 2.6049,                0.87897,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.1568,                0.60588,                 1.1535,                0.95329,                 0.5122,                0.54141,                0.25618,                 1.7815,                 3.0391,                0.96193,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.2034,                0.60932,                 1.1766,                0.95547,                0.30488,                0.31871,                0.16197,                 1.6163,                 2.9853,                  0.907,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.1862,                0.58883,                 1.1343,                0.97999,                0.43902,                0.44716,                0.20029,                 1.8057,                 3.1219,                0.98051,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.1604,                0.57583,                 1.1447,                0.86853,                0.65854,                 0.6695,                0.27984,                  1.956,                 3.8026,                  1.082,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.3152,                0.67645,                 1.2252,                0.93955,                0.43902,                0.45011,                0.23219,                 1.6695,                 3.3584,                 0.9628,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.2406,                0.64189,                 1.1814,                0.88431,                0.40244,                0.42204,                 0.2039,                 1.8001,                  2.447,                 1.0249,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.1389,                0.61482,                 1.1526,                 0.9136,                0.36585,                0.42269,                0.16786,                 2.0198,                   2.97,                 1.1176,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.1426,                0.57577,                  1.139,                0.89915,                0.37805,                 0.4268,                0.22001,                 1.6986,                 3.3062,                 0.9655,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.2196,                0.65059,                  1.151,                0.77418,                0.26829,                0.28255,                0.14269,                 1.7894,                 3.3377,                  1.012,             0.00076755,             0.00076755,             0.00076755
                     27,                  1.144,                0.55658,                 1.1132,                0.74264,                 0.2561,                0.28993,                0.16022,                 1.6175,                 2.5206,                0.91493,             0.00078716,             0.00078716,             0.00078716
                     28,                  1.128,                 0.5975,                  1.107,                0.91732,                0.37805,                0.43356,                0.22602,                 1.6175,                 2.5206,                0.91493,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.1216,                0.61531,                 1.1085,                0.79579,                 0.2561,                 0.2874,                 0.1667,                 1.6135,                 2.5941,                 0.9022,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.1527,                0.58539,                 1.1529,                0.68713,                0.30488,                0.30248,                0.14857,                 1.7161,                 2.4596,                0.94837,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.0738,                0.56841,                 1.0641,                0.96921,                0.38391,                0.44757,                0.21011,                 1.7161,                 2.4596,                0.94837,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.1208,                0.60873,                 1.1667,                0.85712,                0.29264,                0.30681,                0.17123,                 1.6389,                  1.999,                  0.917,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.0966,                0.58156,                 1.1379,                0.81781,                0.28049,                0.30643,                0.17207,                 1.6073,                 1.7803,                 0.9192,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.0616,                0.60584,                 1.1151,                0.86968,                0.40244,                0.44382,                0.25287,                 1.6073,                 1.7803,                 0.9192,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.0938,                 0.5913,                 1.1221,                0.92942,                 0.2561,                0.29221,                0.16324,                 1.6559,                  1.942,                0.94276,             0.00091549,             0.00091549,             0.00091549
                     36,                0.98871,                0.51825,                 1.0625,                0.89829,                 0.2561,                0.29492,                0.16468,                 1.6737,                 2.0401,                0.95302,             0.00092797,             0.00092797,             0.00092797
                     37,                0.94081,                0.52919,                 1.0411,                0.90164,                0.36585,                0.41903,                0.24122,                 1.6737,                 2.0401,                0.95302,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.0153,                0.52348,                 1.0784,                0.97714,                0.12195,                0.17036,                0.08563,                 1.6671,                 1.9011,                0.93036,             0.00095055,             0.00095055,             0.00095055
                     39,                0.97668,                0.51311,                 1.0544,                0.84402,                0.26829,                0.29402,                 0.1671,                 1.7892,                 2.0203,                0.99303,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.0037,                0.53879,                  1.056,                 0.8576,                0.39024,                0.42231,                0.23587,                 1.7892,                 2.0203,                0.99303,             0.00096996,             0.00096996,             0.00096996
                     41,                0.98725,                0.56163,                 1.0856,                0.85582,                0.12195,                0.15577,                0.06616,                 1.7515,                 1.8354,                 0.9848,             0.00097848,             0.00097848,             0.00097848
                     42,                0.97258,                0.53834,                 1.0625,                 0.8174,                0.13415,                0.16203,                0.06402,                 1.7174,                 2.0252,                0.98702,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.0506,                0.55185,                 1.0996,                0.78612,                0.41463,                0.42628,                0.25002,                 1.7174,                 2.0252,                0.98702,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.1112,                0.59113,                 1.1006,                0.76828,                0.13415,                0.15544,                0.07105,                 1.7142,                 2.4376,                0.99395,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.0016,                 0.5166,                 1.1232,                0.82967,                0.28049,                0.30635,                0.16602,                 1.7142,                 2.4376,                0.99395,              0.0010046,              0.0010046,              0.0010046
                     46,                0.95615,                0.57163,                 1.0188,                0.84259,                0.14634,                0.18135,                0.08161,                 1.7232,                 2.3295,                 1.0212,              0.0010092,              0.0010092,              0.0010092
                     47,                0.91169,                 0.4971,                 1.0065,                0.86194,                0.30455,                0.32439,                0.17501,                 1.7232,                 2.3295,                 1.0212,               0.001013,               0.001013,               0.001013
